Inflation measures,Series Name,Description,Aggregation,Sample country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Headline CPI inflation,HCPI_GLOBAL_MED,Global headline consumer price index (HCPI) inflation,Median,193,4.37,4.78,6.01,10.16,16.93,12.90,9.27,10.99,8.52,10.73,13.52,12.06,9.94,8.67,7.91,6.73,5.75,5.86,6.87,7.16,8.81,9.36,9.48,9.20,10.40,9.61,6.44,5.31,5.01,2.96,3.50,3.90,2.96,3.22,3.59,4.08,4.30,4.70,8.72,2.94,3.40,4.80,3.76,2.58,2.24,1.63,1.65,2.23,2.36,2.20,2.25,3.36,8.08,
(percent),HCPI_GLOBAL_AVE,Global headline consumer price index (HCPI) inflation,Average,193,6.12,6.08,6.87,11.36,17.20,14.04,10.10,11.70,10.52,11.43,14.25,13.37,11.19,10.50,10.04,8.41,8.11,7.61,8.90,8.48,10.79,10.94,8.77,9.59,11.87,11.33,9.91,7.30,7.18,5.55,5.73,5.31,5.24,5.67,5.21,5.70,5.85,5.57,10.04,4.53,4.36,6.03,5.37,4.20,3.73,3.44,3.60,4.33,3.78,3.14,3.83,5.06,9.58,
,HCPI_GLOBAL_AVE_GDP,Global headline consumer price index (HCPI) inflation,GDP-weighted Average,190,5.92,5.77,5.08,8.37,14.43,11.84,9.74,10.35,8.43,9.51,12.58,11.13,7.95,5.89,5.81,4.98,3.58,3.94,4.25,5.10,5.76,5.59,4.65,4.15,3.77,4.03,4.59,3.33,2.69,2.14,2.71,2.74,2.47,2.72,2.75,3.09,3.16,3.38,5.24,1.61,3.00,4.18,3.30,3.09,2.83,2.09,2.34,2.70,2.84,2.43,2.12,3.74,6.70,
,HCPI_GLOBAL_MED_BAL,Global headline consumer price index (HCPI) inflation,Median (balanced group),155,4.36,4.82,5.75,10.30,16.94,12.82,9.29,11.08,8.86,10.76,13.57,12.17,9.94,8.67,8.00,6.91,5.82,6.11,6.93,6.79,8.24,8.93,7.52,6.78,8.81,8.68,6.01,4.54,4.61,3.00,3.32,3.98,2.92,3.22,3.57,3.99,4.18,4.84,8.72,3.33,3.53,4.84,3.90,2.71,2.76,1.78,1.97,2.39,2.46,2.30,2.46,3.60,7.80,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HCPI_AE_MED,Advanced-economy HCPI inflation,Median,36,5.71,6.00,6.40,9.20,16.04,11.69,9.63,10.10,8.00,9.12,11.81,10.90,8.59,5.17,4.48,4.03,2.93,3.60,4.05,4.36,5.40,4.77,3.95,3.59,2.75,2.87,2.58,2.26,1.96,1.82,2.62,2.53,1.94,1.96,2.18,2.64,2.60,2.77,4.46,1.20,2.13,3.34,2.56,1.47,1.03,0.36,0.53,1.57,1.78,1.44,0.54,2.38,6.95,
,HCPI_AE_AVE,Advanced-economy HCPI inflation,Average,36,6.97,7.16,6.98,10.54,16.82,13.74,11.29,11.36,10.57,10.26,11.87,12.39,9.48,8.60,6.47,5.37,5.14,4.94,4.65,5.42,7.08,6.29,5.54,5.88,6.92,7.04,5.53,3.95,2.98,2.84,3.45,3.21,2.43,2.46,2.52,3.02,3.48,3.63,6.18,2.38,2.21,3.35,2.72,1.74,1.31,0.81,0.86,1.66,1.90,1.58,0.78,2.52,7.40,
,HCPI_AE_AVE_GDP,Advanced-economy HCPI inflation,GDP-weighted Average,36,5.74,5.35,4.78,7.93,13.54,11.54,8.82,8.71,7.34,9.23,12.04,10.08,7.41,4.88,4.67,4.07,2.36,2.89,3.23,4.34,5.03,4.72,3.63,3.13,2.54,2.56,2.49,2.25,1.56,1.44,2.16,2.13,1.46,1.78,1.96,2.26,2.39,2.32,3.59,0.22,1.51,2.62,1.88,1.40,1.43,0.39,0.83,1.71,1.97,1.39,0.82,3.19,7.19,
,HCPI_AE_MED_BAL,Advanced-economy HCPI inflation,Median (balanced group),29,4.37,6.14,6.06,8.19,15.42,11.69,9.63,10.04,8.00,9.14,13.50,11.88,9.36,7.34,6.17,5.02,2.93,3.29,4.03,4.55,4.78,4.05,3.18,3.29,2.38,2.52,2.13,1.94,1.69,1.63,2.62,2.58,2.26,2.05,2.10,2.21,2.12,2.17,3.75,0.51,1.81,3.20,2.39,1.22,0.77,0.40,0.49,1.38,1.60,1.13,0.50,2.36,7.46,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HCPI_EMDE_MED,EMDE  HCPI inflation,Median,157,4.33,4.47,5.60,10.78,17.54,13.47,8.75,11.17,8.86,11.22,13.81,12.49,10.27,9.57,9.28,7.68,7.48,7.70,8.85,9.02,10.27,12.38,11.10,9.99,13.15,11.38,7.97,6.96,6.46,4.34,4.30,4.69,3.71,4.40,4.35,5.36,6.14,6.09,10.17,4.20,4.21,5.60,4.63,4.08,3.40,3.14,2.79,3.35,2.88,2.60,2.95,4.09,8.31,
,HCPI_EMDE_AVE,EMDE  HCPI inflation,Average,157,6.28,6.04,6.99,11.78,17.42,13.99,9.82,11.74,10.82,11.68,14.85,13.46,11.35,11.01,10.61,9.07,8.82,8.46,10.14,9.39,11.97,12.42,10.04,10.77,13.70,13.12,11.58,8.52,8.48,6.68,6.61,6.07,6.16,6.84,6.16,6.70,6.82,6.40,11.59,5.57,5.09,6.87,6.29,5.11,4.64,4.48,4.61,5.23,4.42,3.66,4.94,5.97,9.93,
,HCPI_EMDE_AVE_GDP,EMDE  HCPI inflation,GDP-weighted Average,156,7.23,8.15,6.74,10.80,18.44,14.32,15.07,17.70,13.77,10.70,14.61,14.98,10.00,10.74,11.21,9.43,11.22,11.23,10.42,9.53,10.22,13.09,13.28,11.92,12.98,15.29,14.86,8.26,7.94,5.85,5.40,5.43,6.66,6.52,5.82,5.86,5.55,6.44,9.45,4.94,5.96,6.99,5.68,5.79,5.03,4.81,4.76,4.14,4.18,3.91,4.17,4.53,6.09,
,HCPI_EMDE_MED_BAL,EMDE  HCPI inflation,Median (balanced group),125,4.33,4.73,5.56,11.10,17.54,13.29,9.10,11.19,9.44,11.22,13.81,12.49,10.33,9.73,9.10,8.00,7.64,7.70,8.74,8.73,11.11,12.19,9.76,9.67,12.06,10.28,7.97,6.46,6.01,4.12,4.17,4.71,3.37,4.51,4.44,5.39,5.62,5.85,10.24,4.21,4.06,5.39,4.90,4.03,3.53,3.19,3.02,3.40,3.27,2.79,3.02,4.09,7.81,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HCPI_LIC_MED,Low income country (LIC) HCPI inflation,Median,27,4.54,5.62,5.28,7.26,14.96,15.60,6.83,11.88,9.70,12.34,13.08,14.33,12.55,12.23,15.51,10.60,9.87,16.93,20.62,13.92,11.48,14.31,15.56,9.99,24.29,15.80,11.33,5.31,5.83,3.81,3.91,4.73,4.87,7.83,7.98,8.51,8.34,8.41,12.44,7.43,6.49,6.44,6.51,5.67,4.66,6.73,6.94,8.05,4.27,2.87,5.93,6.64,10.64,
,HCPI_LIC_MED_BAL,Low income country (LIC) HCPI inflation,Median (balanced group),24,4.64,5.62,4.78,7.26,14.96,14.77,6.89,10.19,9.38,12.34,12.59,13.36,12.28,10.67,15.51,10.54,9.09,16.70,19.28,13.92,11.80,16.13,12.81,11.18,24.69,15.95,13.18,6.47,5.09,3.63,3.86,5.24,4.41,9.14,8.00,10.60,7.78,7.28,12.26,6.31,5.77,7.21,6.71,5.76,4.53,5.36,6.91,8.03,4.27,3.35,5.19,5.75,9.90,
,HCPI_NON-LIC_MED,Non-LIC EMDE HCPI inflation,Median,130,4.29,4.21,6.18,11.36,17.88,12.99,9.59,11.13,8.69,11.12,13.86,12.02,9.72,8.66,8.39,7.01,7.48,7.24,8.18,7.86,9.71,12.38,10.23,9.88,11.06,10.28,7.38,7.09,6.62,4.40,4.35,4.67,3.70,4.05,4.24,4.62,5.55,5.82,9.88,3.65,4.11,5.35,4.42,3.53,3.22,2.52,2.24,3.11,2.77,2.47,2.73,3.72,7.79,
,HCPI_NON-LIC_MED_BAL,Non-LIC EMDE HCPI inflation,Median (balanced group),102,4.29,4.47,6.15,11.54,17.95,13.11,9.52,11.19,9.44,11.12,13.86,12.27,9.76,9.40,8.32,7.47,7.64,7.44,8.18,7.73,11.02,11.76,9.03,9.37,10.39,10.19,7.20,6.46,6.23,4.14,4.20,4.36,3.28,3.90,4.42,4.69,5.18,5.83,9.40,3.97,3.96,5.13,4.51,3.80,3.44,3.06,2.80,3.28,3.24,2.76,2.65,3.77,7.51,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HCPI_EAP_MED,EMDE HCPI inflation: East Asia and Pacific ,Median,24,1.50,3.58,7.51,15.59,24.99,6.95,6.50,7.31,6.25,5.59,13.26,11.73,6.84,6.88,6.47,4.96,5.56,6.11,10.33,7.75,6.95,8.19,8.06,5.88,7.67,5.97,5.72,3.67,6.93,2.73,1.54,2.32,1.96,3.12,2.83,4.24,4.40,4.57,8.83,1.84,3.22,4.70,3.29,2.77,2.01,1.33,1.86,2.21,2.30,2.18,1.92,1.83,5.75,
,HCPI_ECA_MED,EMDE HCPI inflation: Europe and Central Asia ,Median,23,0.30,0.25,-0.05,0.35,0.60,0.15,0.30,0.50,1.45,1.53,1.41,1.75,6.84,4.69,2.80,2.80,2.70,2.70,2.60,6.40,26.13,92.70,435.57,874.25,329.64,125.92,39.05,17.94,14.15,22.83,16.57,9.38,5.73,5.03,6.73,7.82,7.71,8.36,12.37,4.00,6.49,7.65,3.56,3.99,2.98,4.03,1.29,3.18,2.81,3.37,3.33,6.65,13.85,
,HCPI_LAC_MED,EMDE HCPI inflation: Latin America and the Caribbean ,Median,36,5.68,4.13,6.52,13.44,22.46,14.94,9.67,11.86,8.82,15.61,19.08,14.46,8.32,9.18,11.53,13.21,9.73,12.19,9.26,13.55,21.85,21.61,11.64,10.20,8.54,10.11,6.76,6.11,4.70,3.42,4.33,3.66,3.54,3.72,4.35,4.70,4.25,4.59,8.11,2.59,3.53,5.08,3.78,2.49,3.13,2.04,1.72,2.17,2.36,2.17,1.22,3.29,7.90,
,HCPI_MNA_MED,EMDE HCPI inflation: Middle East and North Africa ,Median,19,4.30,4.65,5.00,8.57,14.89,11.72,11.34,11.98,9.87,9.61,10.04,9.89,9.10,6.10,5.09,4.29,5.78,4.46,5.22,5.38,9.14,8.62,6.09,5.23,6.10,6.16,3.90,3.59,3.10,2.19,1.57,1.76,1.76,2.35,3.12,3.45,4.11,4.97,10.76,2.80,3.97,4.91,4.52,3.30,2.88,2.10,2.70,1.78,2.28,1.34,1.71,2.92,5.52,
