Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,10.3,7.7,5.0,8.7,4.7,5.0,14.8,7.9,6.8,2.7,0.2,5.2,5.4,-0.1,,,,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,1.83,3.25,1.71,0.19,0.10,-0.16,0.15,0.82,0.93,0.74,1.41,1.68,6.50,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Inflation,Official Core Consumer Price Inflation,5.028,-10.91,6.34,8.56,15.55,15.99,13.71,12.73,7.61,7.69,9.32,9.17,11.92,9.81,-8.60,-29.92,-10.70,25.94,7.48,7.49,-4.68,61.44,0.97,1.69,2.01,4.66,2.61,-0.16,-23.18,1.22,4.39,-9.84,4.77,26.14,2.18,2.39,-12.31,31.31,3.83,2.12,58.17,2.45,2.11,1.13,2.57,2.33,27.38,5.54,1.54,1.49,0.44,1.41,5.52,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,122,Austria,Inflation,Official Core Consumer Price Inflation,3.684,5.19,6.37,7.38,9.84,9.35,10.17,6.08,3.74,3.78,5.51,5.24,5.74,4.28,5.46,3.66,3.65,2.10,2.65,2.70,2.89,3.41,4.34,4.27,3.26,2.28,1.51,1.10,1.20,0.73,1.66,2.61,2.16,1.41,1.78,1.69,0.92,1.62,1.94,1.77,1.41,2.35,2.09,2.07,1.98,1.85,1.47,1.97,1.81,1.65,1.90,2.15,5.48,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,911,Armenia,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.96,1.01,0.14,2.50,4.92,0.79,2.71,3.78,11.75,3.69,7.49,8.63,5.26,5.85,1.88,5.14,-2.02,0.70,3.70,1.17,1.30,7.23,8.28,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,912,Azerbaijan,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32,5.97,-12.94,4.01,-0.52,-1.62,0.42,0.16,3.98,4.14,-0.09,-0.09,-1.84,,,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,124,Belgium,Inflation,Official Core Consumer Price Inflation,5.294,1.03,1.64,18.25,-3.59,-6.48,5.99,7.96,6.15,4.17,-9.19,22.97,7.12,8.37,6.09,11.80,5.72,3.74,2.29,2.62,2.87,4.20,3.55,3.49,2.66,1.76,1.88,-5.34,1.76,1.31,1.83,2.15,-8.18,24.44,1.87,2.14,0.61,1.63,1.94,1.94,1.40,1.81,2.24,1.35,1.57,1.37,1.96,1.52,1.31,3.77,1.48,1.61,4.56,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,918,Bulgaria,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,2.07,2.06,1.67,1.42,1.37,1.62,1.90,2.72,2.03,1.14,1.79,2.06,1.79,1.58,1.62,2.02,1.59,1.60,1.55,1.50,1.39,,,All Items Excluding Food and Energy,Additional country compared to the previous update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,913,Belarus,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.28,10.07,5.00,6.45,12.33,12.60,6.69,58.59,58.33,13.65,14.27,12.18,10.92,5.37,3.58,4.63,4.62,9.34,16.46,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,223,Brazil,Inflation,Official Core Consumer Price Inflation,,,,,,,,,,,,,,,,,,,,,,,962.32,1916.42,2068.59,71.30,18.03,7.24,2.70,4.13,5.61,5.83,8.38,13.08,7.92,7.45,4.52,3.56,4.92,5.18,5.03,6.48,5.60,5.81,6.49,8.61,7.61,4.47,3.28,3.52,2.23,5.10,8.76,,All Items Excluding Food and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
