Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,
AFG,512,"Afghanistan, Islamic Rep. of",Inflation,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14,4.70,1.83,0.69,-0.46,0.45,1.69,,,,,,,,,,,,,
ALB,914,Albania,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,-0.13,0.16,0.62,0.76,0.17,0.24,0.42,-0.05,0.03,-0.09,0.07,-0.25,0.44,1.61,,,,,,,,,,
DZA,612,Algeria,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.25,0.04,1.15,1.04,1.29,2.11,1.68,1.20,0.68,2.20,2.20,2.43,2.43,1.54,1.73,2.23,,,,,,,,,,,
AGO,614,Angola,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIA,660,Anguilla,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,1.08,0.17,-0.45,-0.73,-0.26,1.24,0.26,0.52,-0.22,1.00,,,,,,,,,,,
ATG,311,Antigua and Barbuda,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,2.13,,,,,,,,,,,
ARG,213,Argentina,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,911,"Armenia, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,1.20,-1.50,-3.25,0.96,-1.09,1.20,1.49,0.47,0.75,2.54,,,,,,,,,,,
ABW,314,"Aruba, Kingdom of the Netherlands",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,2.68,1.88,2.15,2.10,3.23,6.15,-1.73,1.27,3.03,0.24,-1.55,0.00,-0.20,-0.62,-1.26,2.36,2.73,,,,,,,,,,,,,
AUS,193,Australia,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,1.01,0.74,0.46,3.37,2.87,2.02,1.62,1.51,1.88,1.84,1.58,2.97,0.63,2.04,2.00,1.73,1.89,1.84,1.15,1.06,1.62,1.58,1.06,-0.14,1.78,,,,,,,,,,,
AUT,122,Austria,,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.48,1.83,1.73,1.51,0.93,1.32,1.38,0.69,1.09,2.11,0.26,1.44,2.38,1.73,1.31,1.19,0.66,0.71,1.61,1.56,1.10,0.85,2.28,,,,,,,,,,,
AZE,912,"Azerbaijan, Rep. of",,"Estimated Core Inflation, Year-on-Year, Annual average",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
