Country Code,IMF Country Code,Country,Indicator Type,Series Name,19701,19702,19703,19704,19711,19712,19713,19714,19721,19722,19723,19724,19731,19732,19733,19734,19741,19742,19743,19744,19751,19752,19753,19754,19761,19762,19763,19764,19771,19772,19773,19774,19781,19782,19783,19784,19791,19792,19793,19794,19801,19802,19803,19804,19811,19812,19813,19814,19821,19822,19823,19824,19831,19832,19833,19834,19841,19842,19843,19844,19851,19852,19853,19854,19861,19862,19863,19864,19871,19872,19873,19874,19881,19882,19883,19884,19891,19892,19893,19894,19901,19902,19903,19904,19911,19912,19913,19914,19921,19922,19923,19924,19931,19932,19933,19934,19941,19942,19943,19944,19951,19952,19953,19954,19961,19962,19963,19964,19971,19972,19973,19974,19981,19982,19983,19984,19991,19992,19993,19994,20001,20002,20003,20004,20011,20012,20013,20014,20021,20022,20023,20024,20031,20032,20033,20034,20041,20042,20043,20044,20051,20052,20053,20054,20061,20062,20063,20064,20071,20072,20073,20074,20081,20082,20083,20084,20091,20092,20093,20094,20101,20102,20103,20104,20111,20112,20113,20114,20121,20122,20123,20124,20131,20132,20133,20134,20141,20142,20143,20144,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214,20221,20222,20223,20224,20231,,Data source,Base date,Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,314,Aruba,index,Producer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,67.3,67.9,68.8,69.4,69.8,70.1,70.7,71.1,71.4,72.3,72.6,73.4,74.1,74.4,75.1,75.9,76.5,77.2,78.5,78.8,79.3,80.9,85.1,89.0,91.2,93.0,95.1,97.4,100.0,104.9,107.2,107.7,107.8,107.0,106.0,104.3,104.7,104.4,105.2,106.6,108.1,110.0,111.9,112.2,111.9,112.0,112.1,112.8,112.3,111.7,112.3,112.8,113.5,114.2,118.2,118.4,116.3,116.7,117.1,117.4,116.1,115.8,118.4,125.0,124.6,124.1,126.0,134.9,141.3,139.6,141.0,149.2,159.6,160.8,158.7,,,,,,,,,,,,,,,IFS,2010," Producer Price Index, All Commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,index,Producer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1,51.7,52.6,53.7,54.7,54.8,55.3,56.4,57.6,60.1,62.8,67.9,74.2,91.6,93.7,91.0,81.8,73.7,74.1,74.0,71.7,72.9,76.9,81.2,82.4,82.2,83.9,86.6,87.1,87.7,86.3,89.8,91.9,93.2,94.6,97.9,100.4,102.4,102.1,101.8,101.6,99.8,99.5,102.3,104.8,105.5,107.1,108.8,111.5,116.3,113.7,114.1,114.5,112.0,110.7,113.5,115.4,118.7,115.9,117.7,122.1,,,,,,,,,,,,,,IFS,2010," Producer Price Index, All Commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,index,Producer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,88.2,88.3,89.5,91.6,92.1,92.3,91.6,92.3,91.8,92.5,94.0,94.8,95.3,97.3,98.4,99.7,99.9,99.4,99.3,99.2,99.9,100.5,99.3,99.4,100.2,101.1,102.1,102.7,102.5,103.2,104.7,104.1,103.0,103.3,103.4,103.7,102.9,103.3,103.4,103.0,103.1,101.9,101.5,101.8,100.0,99.6,97.4,99.7,99.1,100.8,102.3,101.1,101.1,102.8,103.3,103.5,104.0,103.3,103.1,103.2,102.4,102.2,100.9,99.0,98.2,98.7,100.3,100.6,102.4,104.3,117.3,121.1,123.7,126.5,,,IFS,2010," Producer Price Index, All Commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,index,Producer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.7,123.1,130.8,132.9,137.5,140.2,148.7,155.5,173.6,197.4,239.5,275.2,289.1,325.8,365.7,421.5,450.3,453.7,506.5,587.7,685.4,769.7,825.9,897.8,1025.2,1210.2,1437.1,,,,IFS,2010," Producer Price Index, All Commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,911,Armenia,index,Producer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.5,2.2,5.9,9.4,15.3,17.2,16.9,21.7,24.9,24.6,24.3,26.5,28.4,28.0,30.7,33.1,34.7,35.7,35.7,36.3,37.2,38.1,38.4,38.5,38.7,38.3,38.5,38.1,38.0,38.3,38.5,39.0,38.8,39.0,39.8,40.9,40.6,40.6,43.5,44.3,46.1,50.9,51.9,52.7,56.7,58.8,56.5,56.5,56.7,56.2,58.1,58.2,58.1,57.9,58.0,57.2,59.4,60.8,61.3,61.4,54.2,51.4,56.3,63.2,67.6,70.3,72.1,73.3,77.0,80.7,79.5,77.8,81.3,85.5,87.7,89.8,91.9,91.7,90.2,93.7,96.2,96.8,101.0,103.1,102.4,103.1,102.0,98.5,96.3,98.8,101.2,103.1,102.4,101.9,102.3,104.2,105.8,104.6,103.0,102.6,104.4,104.7,103.0,104.2,105.4,105.1,104.9,109.3,110.7,112.3,118.0,120.2,122.0,124.7,122.7,117.0,120.0,123.9,,National sources,2015," Producer Price Index, All Commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Producer Price Index, manufacturing"
AUS,193,Australia,index,Producer Price Index,11.7,11.8,12.0,12.0,12.2,12.4,12.5,12.7,12.8,13.0,13.1,13.3,13.6,14.0,14.4,14.7,15.2,15.9,16.8,17.5,18.1,18.5,19.1,19.7,20.2,20.8,21.2,21.7,22.4,22.9,23.3,23.7,24.1,24.6,25.2,25.9,27.0,28.2,29.3,30.2,31.5,32.2,33.2,33.8,34.6,35.2,35.8,36.3,37.2,38.1,39.2,39.9,40.6,41.7,42.1,42.6,43.1,43.7,44.4,44.8,45.3,46.7,47.5,48.0,48.7,48.5,49.7,51.1,51.9,52.6,53.5,54.5,55.8,56.7,58.7,60.7,59.2,60.7,61.5,62.3,63.1,64.0,64.6,66.5,65.5,65.3,65.5,65.6,65.7,66.1,66.9,67.2,67.4,67.6,68.1,68.1,67.7,68.2,68.4,69.0,70.0,70.8,71.2,71.2,71.5,71.3,71.2,71.6,71.9,72.0,72.4,72.8,72.6,68.4,68.5,68.1,67.7,67.9,69.3,70.3,71.5,72.9,74.3,76.1,75.2,75.6,74.4,72.9,72.9,74.5,75.0,76.3,74.5,73.3,73.3,74.0,75.2,78.3,80.8,83.4,82.4,83.2,85.0,86.3,88.4,89.9,90.3,89.0,89.4,90.7,91.6,94.1,97.0,99.6,101.9,96.8,92.0,93.0,94.0,94.6,97.1,99.8,100.8,102.3,107.3,110.0,109.3,109.1,112.0,113.0,113.0,113.8,114.2,112.4,112.0,110.9,110.3,109.1,108.5,106.2,102.9,105.3,103.1,101.2,97.1,99.8,102.4,107.3,110.5,109.0,108.9,112.8,113.2,114.4,116.9,119.7,117.9,117.3,115.9,117.8,115.9,109.1,111.6,114.9,,,,,,,,,,,IFS,2010," Producer Price Index, All Commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,122,Austria,index,Producer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,75.5,73.9,74.2,74.4,74.8,74.2,74.4,75.3,76.0,75.6,76.3,77.4,78.0,77.4,79.1,79.4,79.7,77.8,77.6,79.0,79.2,77.8,77.8,78.3,78.7,77.9,77.6,78.5,79.3,78.9,80.0,79.9,80.9,78.6,78.3,79.5,80.0,79.3,79.5,79.9,79.9,79.8,79.9,80.2,80.1,79.2,78.3,78.4,79.1,78.5,79.1,80.6,81.2,81.9,82.8,82.9,83.6,82.9,82.0,82.5,82.8,82.4,82.4,84.0,83.6,83.4,84.4,86.0,88.4,88.5,89.1,89.8,89.8,89.6,90.2,90.7,92.5,93.3,93.2,93.4,94.9,97.2,99.3,101.8,105.2,104.5,98.1,95.1,94.9,94.6,94.7,96.6,100.3,100.6,102.6,103.0,104.3,104.3,104.5,104.8,105.0,104.9,105.0,104.6,103.9,103.9,103.7,103.2,103.0,102.9,102.5,101.7,102.0,101.4,100.4,97.6,97.8,98.2,99.0,100.0,99.9,99.7,100.8,101.3,102.1,103.1,103.4,102.9,102.7,102.4,102.3,102.0,100.3,100.4,101.0,103.2,106.2,110.0,116.5,113.1,118.0,122.6,123.7,,,IFS,2010," Producer Price Index, All Commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,912,Azerbaijan,index,Producer Price Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.5,65.4,64.5,72.3,70.6,70.3,81.5,92.0,103.0,102.1,66.6,55.5,67.9,81.7,88.1,95.3,98.4,98.7,107.6,116.3,128.3,124.8,126.2,148.2,137.3,137.4,136.8,138.4,128.4,136.6,134.2,137.8,139.7,131.4,101.5,80.8,103.7,88.5,81.3,88.7,110.3,118.7,134.2,154.8,143.0,150.3,170.1,184.0,197.5,203.7,193.9,195.3,211.6,196.4,200.9,169.5,113.6,160.6,161.2,206.4,228.8,245.9,344.7,455.2,508.0,481.1,446.2,,,IFS,2010," Producer Price Index, All Commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,124,Belgium,index,Producer Price Index,27.4,27.5,27.4,27.6,27.2,27.3,27.5,27.4,27.8,28.2,28.5,29.4,30.6,31.5,32.4,33.4,36.3,37.5,37.7,37.8,37.3,37.3,37.9,38.6,39.6,40.3,40.8,41.1,42.0,41.9,41.1,40.7,40.2,40.5,40.7,41.2,42.2,43.0,43.5,44.2,45.6,46.6,46.7,48.6,51.3,52.9,54.6,55.1,57.7,60.1,62.0,62.9,63.2,63.9,65.5,66.3,69.0,69.0,69.7,70.9,72.4,73.0,70.8,69.7,67.0,63.7,61.2,61.1,60.2,60.0,60.2,60.1,60.2,60.2,61.7,62.3,64.4,65.5,65.4,65.1,64.6,63.7,64.3,65.3,63.9,63.4,63.7,63.7,63.2,63.2,62.1,61.6,61.0,60.7,60.9,61.2,61.5,62.1,61.9,62.2,63.8,63.7,63.8,64.1,65.3,65.1,65.1,65.5,66.8,67.5,68.4,68.0,67.4,67.0,66.1,65.0,64.9,65.8,66.6,68.4,70.5,72.4,74.4,76.3,75.2,75.6,74.4,72.9,72.9,74.5,75.0,76.3,74.5,73.3,73.3,74.0,75.2,78.3,80.8,83.4,82.4,83.2,85.0,86.3,88.4,89.9,90.3,89.0,89.4,90.7,91.6,94.1,97.0,99.6,101.9,96.8,92.0,93.0,94.0,94.6,97.1,99.8,100.8,102.3,107.3,110.0,109.3,109.1,112.0,113.0,113.0,113.8,114.2,112.4,112.0,110.9,110.3,109.1,108.5,106.2,102.9,105.3,103.1,101.2,97.1,99.8,102.4,107.3,110.5,109.0,108.9,112.8,113.2,114.4,116.9,119.7,117.9,117.3,115.9,117.8,115.9,109.1,111.6,114.9,120.4,125.9,134.0,149.5,165.8,176.5,181.8,187.0,,,IFS,2010," Producer Price Index, All Commodities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
